ADM0_CODE,mean_temp_2015_country,temp_min_exclusive,temp_max_inclusive,mcfpasture,mcfdaily,mcfsolid,mcfsolidcov,mcfsolidbulk,mcfsolidadd,mcfdrylot,mcfpit1,mcfpit3,mcfpit4,mcfpit6,mcfpit12,mcfliquid1,mcfliquid3,mcfliquid4,mcfliquid6,mcfliquid12,mcfliquidnatcov1,mcfliquidnatcov3,mcfliquidnatcov4,mcfliquidnatcov6,mcfliquidnatcov12,mcfliquidsolcov1,mcfliquidsolcov3,mcfliquidsolcov4,mcfliquidsolcov6,mcfliquidsolcov12,mcflagoon,mcfbiogaslowleak1,mcfbiogaslowleak2,mcfbiogaslowleak3,mcfbiogashighleak1,mcfbiogashighleak2,mcfbiogashighleak3,mcfburned,mcfdeepnomix2,mcfdeepnomix1,mcfdeepmix2,mcfdeepmix1,mcfcompostves,mcfcompoststat,mcfcompostint,mcfcompostpass,mcflitter,mcfnolitter,mcfareobic,mcfaerproc
224,10.5181714387501,10,11,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
254,10.2666715951577,10,11,1,0.1,2,2,2,2,1,3,19,19,19,19,19,19,19,19,19,11,11,11,11,11,11,11,11,11,11,68,10,10,10,10,10,10,10,19,3,19,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
15,11.3182416880964,11,12,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
85,11.6907699329729,11,12,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
126,11.2518751089931,11,12,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
165,11.7413500236338,11,12,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
241,11.1863130668197,11,12,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
249,11.394193023313,11,12,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
2648,11.6118769654016,11,12,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
1,12.6728490185375,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
