"COUNTRY","ADM0_CODE","Animal_short","HerdType_short","b0","mms","ipcc_ref"
"Eritrea",77,"CHK","",0.19,"mmspasture","2019"
"Eritrea",77,"PGS","",0.19,"mmspasture","2019"
"Eritrea",77,"BFL","",0.19,"mmspasture","2019"
"Eswatini",235,"CTL","DRY",0.13,"","2006; 2019"
"Eswatini",235,"CTL","",0.1,"","2006; 2019"
"Eswatini",235,"BFL","",0.1,"","2006; 2019"
"Eswatini",235,"PGS","",0.29,"","2006; 2019"
"Eswatini",235,"SHP","",0.13,"","2006; 2019"
"Eswatini",235,"GTS","",0.13,"","2006; 2019"
"Eswatini",235,"CML","",0.21,"","2006; 2019"
"Eswatini",235,"CHK","LAY",0.39,"","2006; 2019"
"Eswatini",235,"CHK","BRL",0.36,"","2006; 2019"
"Eswatini",235,"CTL","",0.19,"mmspasture","2019"
"Eswatini",235,"SHP","",0.19,"mmspasture","2019"
"Eswatini",235,"GTS","",0.19,"mmspasture","2019"
"Eswatini",235,"CML","",0.19,"mmspasture","2019"
"Eswatini",235,"CHK","",0.19,"mmspasture","2019"
"Eswatini",235,"PGS","",0.19,"mmspasture","2019"
"Eswatini",235,"BFL","",0.19,"mmspasture","2019"
"Ethiopia",79,"CTL","DRY",0.13,"","2006; 2019"
"Ethiopia",79,"CTL","",0.1,"","2006; 2019"
"Ethiopia",79,"BFL","",0.1,"","2006; 2019"
"Ethiopia",79,"PGS","",0.29,"","2006; 2019"
"Ethiopia",79,"SHP","",0.13,"","2006; 2019"
"Ethiopia",79,"GTS","",0.13,"","2006; 2019"
"Ethiopia",79,"CML","",0.21,"","2006; 2019"
"Ethiopia",79,"CHK","LAY",0.39,"","2006; 2019"
"Ethiopia",79,"CHK","BRL",0.36,"","2006; 2019"
"Ethiopia",79,"CTL","",0.19,"mmspasture","2019"
"Ethiopia",79,"SHP","",0.19,"mmspasture","2019"
"Ethiopia",79,"GTS","",0.19,"mmspasture","2019"
"Ethiopia",79,"CML","",0.19,"mmspasture","2019"
"Ethiopia",79,"CHK","",0.19,"mmspasture","2019"
"Ethiopia",79,"PGS","",0.19,"mmspasture","2019"
"Ethiopia",79,"BFL","",0.19,"mmspasture","2019"
"Gabon",89,"CTL","DRY",0.13,"","2006; 2019"
"Gabon",89,"CTL","",0.1,"","2006; 2019"
"Gabon",89,"BFL","",0.1,"","2006; 2019"
"Gabon",89,"PGS","",0.29,"","2006; 2019"
"Gabon",89,"SHP","",0.13,"","2006; 2019"
"Gabon",89,"GTS","",0.13,"","2006; 2019"
"Gabon",89,"CML","",0.21,"","2006; 2019"
"Gabon",89,"CHK","LAY",0.39,"","2006; 2019"
"Gabon",89,"CHK","BRL",0.36,"","2006; 2019"
"Gabon",89,"CTL","",0.19,"mmspasture","2019"
"Gabon",89,"SHP","",0.19,"mmspasture","2019"
"Gabon",89,"GTS","",0.19,"mmspasture","2019"
"Gabon",89,"CML","",0.19,"mmspasture","2019"
"Gabon",89,"CHK","",0.19,"mmspasture","2019"
"Gabon",89,"PGS","",0.19,"mmspasture","2019"
"Gabon",89,"BFL","",0.19,"mmspasture","2019"
"Gambia",90,"CTL","DRY",0.13,"","2006; 2019"
"Gambia",90,"CTL","",0.1,"","2006; 2019"
"Gambia",90,"BFL","",0.1,"","2006; 2019"
"Gambia",90,"PGS","",0.29,"","2006; 2019"
"Gambia",90,"SHP","",0.13,"","2006; 2019"
"Gambia",90,"GTS","",0.13,"","2006; 2019"
"Gambia",90,"CML","",0.21,"","2006; 2019"
"Gambia",90,"CHK","LAY",0.39,"","2006; 2019"
"Gambia",90,"CHK","BRL",0.36,"","2006; 2019"
"Gambia",90,"CTL","",0.19,"mmspasture","2019"
"Gambia",90,"SHP","",0.19,"mmspasture","2019"
"Gambia",90,"GTS","",0.19,"mmspasture","2019"
"Gambia",90,"CML","",0.19,"mmspasture","2019"
"Gambia",90,"CHK","",0.19,"mmspasture","2019"
"Gambia",90,"PGS","",0.19,"mmspasture","2019"
"Gambia",90,"BFL","",0.19,"mmspasture","2019"
"Ghana",94,"CTL","DRY",0.13,"","2006; 2019"
"Ghana",94,"CTL","",0.1,"","2006; 2019"
"Ghana",94,"BFL","",0.1,"","2006; 2019"
"Ghana",94,"PGS","",0.29,"","2006; 2019"
"Ghana",94,"SHP","",0.13,"","2006; 2019"
"Ghana",94,"GTS","",0.13,"","2006; 2019"
"Ghana",94,"CML","",0.21,"","2006; 2019"
"Ghana",94,"CHK","LAY",0.39,"","2006; 2019"
"Ghana",94,"CHK","BRL",0.36,"","2006; 2019"
"Ghana",94,"CTL","",0.19,"mmspasture","2019"
"Ghana",94,"SHP","",0.19,"mmspasture","2019"
"Ghana",94,"GTS","",0.19,"mmspasture","2019"
"Ghana",94,"CML","",0.19,"mmspasture","2019"
"Ghana",94,"CHK","",0.19,"mmspasture","2019"
"Ghana",94,"PGS","",0.19,"mmspasture","2019"
"Ghana",94,"BFL","",0.19,"mmspasture","2019"
"Guinea",106,"CTL","DRY",0.13,"","2006; 2019"
"Guinea",106,"CTL","",0.1,"","2006; 2019"
"Guinea",106,"BFL","",0.1,"","2006; 2019"
"Guinea",106,"PGS","",0.29,"","2006; 2019"
"Guinea",106,"SHP","",0.13,"","2006; 2019"
"Guinea",106,"GTS","",0.13,"","2006; 2019"
"Guinea",106,"CML","",0.21,"","2006; 2019"
"Guinea",106,"CHK","LAY",0.39,"","2006; 2019"
"Guinea",106,"CHK","BRL",0.36,"","2006; 2019"
"Guinea",106,"CTL","",0.19,"mmspasture","2019"
"Guinea",106,"SHP","",0.19,"mmspasture","2019"
"Guinea",106,"GTS","",0.19,"mmspasture","2019"
"Guinea",106,"CML","",0.19,"mmspasture","2019"
"Guinea",106,"CHK","",0.19,"mmspasture","2019"
"Guinea",106,"PGS","",0.19,"mmspasture","2019"
"Guinea",106,"BFL","",0.19,"mmspasture","2019"
"Guinea-Bissau",105,"CTL","DRY",0.13,"","2006; 2019"
"Guinea-Bissau",105,"CTL","",0.1,"","2006; 2019"
