ADM0_CODE,mmspasture,mmsdaily,mmssolid,mmssolidcov,mmssolidbulk,mmssolidadd,mmsdrylot,mmspit1,mmspit3,mmspit4,mmspit6,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid6,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov6,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmslagoon,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak1,mmsbiogashighleak2,mmsbiogashighleak3,mmsburned,mmsdeepnomix2,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostint,mmscompostpass,mmslitter,mmsnolitter,mmsareobic,mmsaerproc,ipcc_method
165,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
241,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
249,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
2648,1,0.1,2,2,2,2,1,3,20,20,20,20,20,20,20,20,20,13,13,13,13,13,13,13,13,13,13,70,10,10,10,10,10,10,10,20,3,20,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
1,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
3,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
19,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
41,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
62,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
104,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
113,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
128,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
142,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
175,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
202,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
122,1,0.1,2,2,2,2,1,3,25,25,25,25,25,25,25,25,25,15,15,15,15,15,15,15,15,15,15,73,10,10,10,10,10,10,10,25,3,25,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
261,1,0.1,2,2,2,2,1,3,25,25,25,25,25,25,25,25,25,15,15,15,15,15,15,15,15,15,15,73,10,10,10,10,10,10,10,25,3,25,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0,2006
12,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
97,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
141,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
151,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
166,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
213,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
229,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
199,1.5,0.5,4,4,4,4,1.5,3,29,29,29,29,29,29,29,29,29,18,18,18,18,18,18,18,18,18,18,75,10,10,10,10,10,10,10,29,3,29,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
74578,1.5,0.5,4,4,4,4,1.5,3,29,29,29,29,29,29,29,29,29,18,18,18,18,18,18,18,18,18,18,75,10,10,10,10,10,10,10,29,3,29,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
110,1.5,0.5,4,4,4,4,1.5,3,32,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,20,20,76,10,10,10,10,10,10,10,32,3,32,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
250,1.5,0.5,4,4,4,4,1.5,3,32,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,20,20,76,10,10,10,10,10,10,10,32,3,32,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
260,1.5,0.5,4,4,4,4,1.5,3,35,35,35,35,35,35,35,35,35,22,22,22,22,22,22,22,22,22,22,77,10,10,10,10,10,10,10,35,3,35,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
117,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
169,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
