Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","780","Trinidad and Tobago","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","8300","E","Estimated value",""
"QCL","Crops and livestock products","788","Tunisia","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","3614","I","Imputed value",""
"QCL","Crops and livestock products","788","Tunisia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","477445","I","Imputed value",""
"QCL","Crops and livestock products","788","Tunisia","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","410456","I","Imputed value",""
"QCL","Crops and livestock products","788","Tunisia","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","300000","E","Estimated value",""
"QCL","Crops and livestock products","792","Türkiye","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","62999","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","5535773","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","4578494","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","15362927","A","Official figure",""
"QCL","Crops and livestock products","795","Turkmenistan","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","795","Turkmenistan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1024000","E","Estimated value",""
"QCL","Crops and livestock products","800","Uganda","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","3717136","I","Imputed value",""
"QCL","Crops and livestock products","804","Ukraine","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","2231600","A","Official figure",""
