Category,Category_short,Item_Name,GLEAM3_name,Item_group,GLEAM_Method,GLEASTAT_version,DM,GE,DE_ruminants,DE_pigs,ME_ruminants,ME_pigs,ME_chickens,CP,N_content,N_dig_ruminants,N_dig_pigs
Fodder crops,FodderCrops,FDDRBEET,FDDRBEET,GLEAM3,GLEAMX,v1,16.1,16.2,13.6889999999999,13,11.5,12.7,10.1,16.7,0.0267199999999999,68.9,67.3
Grass and leaves,GrassLeaves,GRASSH_uncultivated,GRASSH_uncultivated,GLEAM3,GLEAMX,v1,89.9,17.9407217099182,9.51675757575758,,7.59456521739131,,,8.97348993288591,0.0143575838926175,44.5455303030303,
Grass and leaves,GrassLeaves,GRASSH_standing,GRASSH_standing,GLEAM3,GLEAMX,v1,89.9,17.9407217099182,9.51675757575758,,7.59456521739131,,,8.97348993288591,0.0143575838926175,44.5455303030303,
Grass and leaves,GrassLeaves,GRASSH_cultivated,GRASSH_cultivated,GLEAM3,GLEAMX,v1,89.9,18.09,10.18,,8.22,,,9.35,0.01496,47.65,
Grass and leaves,GrassLeaves,GRASSLEGH_uncultivated,GRASSLEGH_uncultivated,GLEAM3,GLEAMX,v1,89.9,18.2084936757378,9.6289393939394,,7.53913043478261,,,15.5476510067114,0.0248762416107383,68.9357272727273,
Grass and leaves,GrassLeaves,GRASSLEGH_cultivated,GRASSLEGH_cultivated,GLEAM3,GLEAMX,v1,89.9,18.36,10.3,,8.16,,,16.2,0.02592,73.74,
Grass and leaves,GrassLeaves,GRASSLEGF_uncultivated,GRASSLEGF_uncultivated,GLEAM3,GLEAMX,v1,21.3833333333333,18.2200640693226,11.6606767676768,7.38530303030303,9.1544384057971,6.69836956521739,5.22010869565218,17.847807606264,0.0285564921700224,63.7192727272727,48.9860606060606
Additives & supplements,AdditivesSupplements,FISHMEAL,FISHMEAL,GLEAM3,GLEAMX,v1,92.26,20.43,20.45,18.03,14.2,16.25,14.13,64.8,0.10368,95,89.65
Other,Other,SOY OIL,SOY OIL,GLEAM3,GLEAMX,v1,99.8,39.2999999999999,39.1427999999999,34.5,36.7,34.3499999999999,37.9,0,0,0,0
Oil crop cakes,OilCropCakes,MLSOY,MLSOY,GLEAM3,GLEAMX,v1,88,19.7,17.95655,17.05,13.35,15.55,11.05,53.9,0.08624,80.2,88.4
Oil crop cakes,OilCropCakes,MLOILSDS,MLOILSDS,GLEAM3,GLEAMX,v1,90.5762745098039,20.2467973856209,14.1930217592592,12.5427002314815,11.0538344226579,12.3039743589743,9.81346153846152,35.1854575163399,0.0562705555555555,76.2211111111111,73.2239583333333
Oil crop cakes,OilCropCakes,PKEXP,PKEXP,GLEAM3,GLEAMX,v1,91.1,19.45,13.8,8.1,11.1499999999999,7.55,10.6,17.7,0.0283199999999999,73.8,63.9
Oil crop cakes,OilCropCakes,MLRAPE,MLRAPE,GLEAM3,GLEAMX,v1,90.5,20.35,15.637,14.25,12.1,13.2,9.05,35.9,0.05744,77.1,77.8
Oil crop cakes,OilCropCakes,MLCTTN,MLCTTN,GLEAM3,GLEAMX,v1,91.6,20.65,15.545,13.1,11.7666666666666,11.9333333333333,9.7,42.4249999999999,0.0678799999999999,80.4,73.4
